"day","month","year","t_max","t_min","prec","sol_rad"
1,3,1980,31.8,24,0,24.31799473
2,3,1980,32.4,23.4,0,23.13636421
3,3,1980,28.4,24,0,15.81953959
4,3,1980,32.8,23.6,0,22.44808255
5,3,1980,31.6,23.4,0,22.33150305
6,3,1980,31,23.6,0,23.13693522
7,3,1980,34.2,23.6,0,23.01881975
8,3,1980,33.6,23.4,0,24.28779093
9,3,1980,33.2,23.2,0,22.77837656
10,3,1980,33,23,0,22.19215162
11,3,1980,33.2,25,0,22.68710051
12,3,1980,33.6,24.6,0,21.6323837
13,3,1980,33.30456741,25.4,0,20.88466234
14,3,1980,34.4,25.8,0,20.755436
15,3,1980,34.2,25.4,0,23.88793657
16,3,1980,33.4,25.4,0,20.33753467
17,3,1980,32.2,24.4,0,22.84995631
18,3,1980,32.4,24.6,0,21.78286624
19,3,1980,32,25.2,0,16.81711928
20,3,1980,33,23.8,0,20.10878036
21,3,1980,32.8,23.4,0,22.77907194
22,3,1980,29.6,24.2,0,21.70456627
23,3,1980,30.8,24.2,0,21.09638343
24,3,1980,34,23,0,22.20506814
25,3,1980,31.6,25,0,15.18676563
26,3,1980,31.4,25,0,20.98194041
27,3,1980,34,24.8,0,19.27364748
28,3,1980,34,25.4,0,20.84778227
29,3,1980,32.43995295,25.6,0,10.06510584
30,3,1980,27.4,26,0,9.446992881
31,3,1980,32,23,0,22.12414028
1,4,1996,31.6,24.62609281,0,14.62226298
2,4,1996,32,25.98288511,22.5,15.25346653
3,4,1996,30.2,25.15314734,0,9.472066721
4,4,1996,32.4,25.58269688,0,23.39259936
5,4,1996,31.4,23.33486807,0,9.794285186
6,4,1996,32.8,25.69263733,0,22.61272062
7,4,1996,32.8,24.96929119,0,21.51845188
8,4,1996,33.4,25.3488103,0,19.48693541
9,4,1996,32,24.62360322,0,16.51952021
10,4,1996,31.8,24.17363092,0,16.20640063
11,4,1996,32.2,24.28584797,0,13.8655364
12,4,1996,32.6,25.25514704,0,11.05894422
13,4,1996,33.2,25.71038195,0,18.22421392
14,4,1996,34.2,23.60022677,0,21.79951093
15,4,1996,32.4,25.15334388,0,22.56906598
16,4,1996,32,25.99320993,0,23.49208907
17,4,1996,33.2,23.23473354,0,18.51004771
18,4,1996,31.6,24.58577241,0,22.22694073
19,4,1996,31.4,24.77284841,0,19.11321
20,4,1996,32.6,24.28228822,0,20.03280751
21,4,1996,34,25.78907055,0,22.49826448
22,4,1996,33.6,26.34827745,0,22.48371974
23,4,1996,33.4,25.74133394,0,19.84149566
24,4,1996,32.2,25.12658275,8.2,17.51248013
25,4,1996,31.8,25.41751262,0,15.34175654
26,4,1996,32.8,23.58201332,0,17.02658137
27,4,1996,32.4,25.69650028,1.7,15.16768226
28,4,1996,31.2,22.51983447,0,14.38847804
29,4,1996,33.8,25.06604688,29,16.68196269
30,4,1996,33.2,25.98873289,0,17.58940981
1,5,2001,32.39317716,23.2,1,13.14087489
2,5,2001,30.98096927,22.6,2.7,13.89769955
3,5,2001,34.46808732,22.2,0,11.28542722
4,5,2001,30.69737586,22.8,0,9.443290407
5,5,2001,32.24447608,22.4,0,11.72792542
6,5,2001,35.02355544,22.6,3.7,10.04167867
7,5,2001,34.1923834,22.4,0.9,9.730217761
8,5,2001,34.87455784,22.8,0,9.419338614
9,5,2001,31.38330278,21.2,0.6,13.51595882
10,5,2001,30.3513402,22,0,22.45940286
11,5,2001,30.7356211,22.4,0,17.73757009
12,5,2001,32.21756726,23,0,18.78062355
13,5,2001,33.95402159,22.8,0,14.07449115
14,5,2001,32.53556945,22.6,0,10.89012214
15,5,2001,33.87210558,21.8,4.4,11.03229277
16,5,2001,31.67069132,21.2,0,10.87271962
17,5,2001,32.76246643,21.6,0,22.45221485
18,5,2001,31.70219687,22.2,42,21.07685542
19,5,2001,30.96244112,19.6,0,18.06678098
20,5,2001,31.1123206,25.3123206,1,24.03481079
21,5,2001,29.28301552,20.4,1.9,10.67949848
22,5,2001,27.05424953,21.2,0,17.85292483
23,5,2001,31.4900182,21,0,21.57287353
24,5,2001,31.40184076,22,0,15.43180112
25,5,2001,31.2121375,21.4,0,17.50625364
26,5,2001,30.89497005,19.8,0,13.46885146
27,5,2001,32.69963055,25.29963055,0,19.30101196
28,5,2001,33.01626134,20.6,0,19.98841307
29,5,2001,33.45300943,22.2,1.8,11.2093721
30,5,2001,32.20036181,21.4,4.8,16.39422662
31,5,2001,32.22930145,23.8,18.8,10.60069678
1,6,1992,33.4,24.2,7.6,15.02561798
2,6,1992,31.8,26,5,10.58018518
3,6,1992,31.6,24.4,0,14.41428077
4,6,1992,31.6,25.4,0,16.61898694
5,6,1992,31.6,26.4,0,19.41064503
6,6,1992,33.4,26.4,0.8,12.76658887
7,6,1992,32.4,22.4,0,18.20882527
8,6,1992,31.8,25.6,1.7,15.63632878
9,6,1992,32.4,24.8,1.1,17.77576734
10,6,1992,33.6,24.6,0,19.51954376
11,6,1992,31.6,25.6,10.8,22.13853709
12,6,1992,30.1,25.17750848,0.4,14.05174646
13,6,1992,32.6,24.4,0,10.81704384
14,6,1992,33.6,25.8,0,22.55141322
15,6,1992,35.4,26.4,0,16.82356419
16,6,1992,34,26.8,1.3,18.57799337
17,6,1992,30.6,24.2,3.4,22.97034602
18,6,1992,32.6,25.2,8.2,17.35099716
19,6,1992,31.2,25,2.4,15.09013212
20,6,1992,29.4,24.4,0,16.95066609
21,6,1992,32.4,24,0,14.01916633
22,6,1992,34.8,25.3,0,12.11392004
23,6,1992,35.2,26.2,13.2,16.79944603
24,6,1992,35,23.7,1.1,17.53125788
25,6,1992,33.4,26.4,20,22.51087071
26,6,1992,32.2,23.2,0,21.34033239
27,6,1992,32.8,25.8,2.7,14.3109169
28,6,1992,31.4,24.2,1.4,19.73317459
29,6,1992,33,24.6,0,11.96959013
30,6,1992,34.4,26.4,32.1,17.39463105
1,7,1993,31,22.2,0,10.50557963
2,7,1993,31,25.90836858,0,9.480928073
3,7,1993,32.26263342,24.4,0,21.36245291
4,7,1993,30.87785033,24.4,53.3,18.28754908
5,7,1993,29,23,0,9.192947227
6,7,1993,30.6,23,0,13.89410568
7,7,1993,33.4,25,2.6,22.12585666
8,7,1993,31.97154475,25,0,18.60737628
9,7,1993,34.6,24.8,16,20.52721411
10,7,1993,33,24.6,0,19.06524994
11,7,1993,32.4,25.5,1.8,16.57133182
12,7,1993,32.8,25,0,23.06235279
13,7,1993,33,25,0,22.63292363
14,7,1993,33.4,24.7,0,19.54767853
15,7,1993,33.6,25,0,18.23023407
16,7,1993,29.2,25.4,13.9,11.00065633
17,7,1993,32.6,23.6,0,21.35774317
18,7,1993,33.4,26,0,22.99981914
19,7,1993,34.4,25.8,0.3,20.79380458
20,7,1993,32,22,42,22.43891494
21,7,1993,32,20.8,0,18.30036365
22,7,1993,34,20.4,0,22.6200226
23,7,1993,33.8,25.8,0,18.92067597
24,7,1993,30,24.6,0.6,11.49494325
25,7,1993,32.6,25,0,23.11841894
26,7,1993,32,25,0,13.89396114
27,7,1993,34.4,24,0,23.75175328
28,7,1993,31.37794731,25.4,5.9,21.23161383
29,7,1993,34.2,23,0,16.0153017
30,7,1993,33.2,25.8,0,15.72751876
31,7,1993,34,25.8,0,22.03102485
1,8,2003,30.2,22.6,4.3,15.86525054
2,8,2003,30,22,16.1,18.81957384
3,8,2003,30.8,23.2,1,17.25025974
4,8,2003,32,24.8,2.2,18.18249549
5,8,2003,31.2,25.6,0,13.14449593
6,8,2003,32.4,26,0.5,17.14371898
7,8,2003,33,26,0,19.57162568
8,8,2003,29.2,22,5,11.73770214
9,8,2003,32.6,22.8,0,19.43057669
10,8,2003,31.6,25.4,0,16.53995261
11,8,2003,29,22,0.3,10.62858277
12,8,2003,31.80766835,25.40766835,0,15.49123057
13,8,2003,33.6,22.8,0,21.26062796
14,8,2003,31.6,23.2,0.7,18.34215015
15,8,2003,32,25.2,19,16.32429187
16,8,2003,32.6,24,0,18.73027552
17,8,2003,33.6,25.4,0,17.93784491
18,8,2003,32.6948716,24.8948716,0,17.72296362
19,8,2003,33.2,23.8,0,19.65033703
20,8,2003,28.2,26.6,0,11.40852344
21,8,2003,31.6,23.2,0,17.2331018
22,8,2003,30.4,23.2,27.7,14.83613974
23,8,2003,33.9,23.6,0,19.06356952
24,8,2003,31.2,22.2,9.1,17.75806306
25,8,2003,33,23.6,3.2,16.68699725
26,8,2003,32.6,25,23,17.65828348
27,8,2003,30.6,23,15.8,16.80470491
28,8,2003,32.2,24,0,18.2607185
29,8,2003,29.2,24.2,0,10.77366902
30,8,2003,32.6,23.6,0,19.04937567
31,8,2003,31.6,25,0,15.21341831
