"day","month","year","t_max","t_min","prec","sol_rad"
1,3,1987,35.2,23.8,0,19.65169997
2,3,1987,34.95422616,26.6,0,21.85393904
3,3,1987,33.70742744,23.8,0,16.58637296
4,3,1987,35.8,24.4,0,18.00907025
5,3,1987,35.4,26.2,0,17.24974694
6,3,1987,35.8,23.4,0,15.70757459
7,3,1987,34.8,26,0,16.97480582
8,3,1987,34.6,25,0,16.05383552
9,3,1987,36,26.4,0,19.51292721
10,3,1987,35,24.2,0,21.56652423
11,3,1987,36.6,26,0,22.21135158
12,3,1987,37.2,24.6,0,10.62427715
13,3,1987,32.6,23.4,1.8,15.02729775
14,3,1987,29.4,23.2,2.4,9.701394146
15,3,1987,33,24.11348918,1.2,15.04942146
16,3,1987,32.6,22.6,7,10.03169387
17,3,1987,33.6,22,5.4,16.16866573
18,3,1987,34.2,22.8,0,23.09480381
19,3,1987,34,22.8,0,21.37454957
20,3,1987,33.4,23.8,0,13.67569574
21,3,1987,34.2,23.2,24,21.70401438
22,3,1987,34.4,21.2,0,16.04636174
23,3,1987,33,21.6,0,16.68009875
24,3,1987,33.2,22.6,1.1,14.00926731
25,3,1987,35.8,23.8,0,23.92253853
26,3,1987,35.6,24.6,0,19.67670159
27,3,1987,35.8,21.6,0,23.45136348
28,3,1987,36,26.6,0,17.78986254
29,3,1987,33,27.2,0,14.64520016
30,3,1987,34.6,26.2,0,19.04380924
31,3,1987,35,26.4,0,18.41216215
1,4,1997,33.70309604,25.60309604,6.1,11.50014102
2,4,1997,31.23496541,24.63496541,0,15.26464173
3,4,1997,34.53733976,20.73733976,0,21.06348715
4,4,1997,36.59787516,24.99787516,0,14.6284418
5,4,1997,34.86276243,26.76276243,72.5,18.69604292
6,4,1997,33.5700832,23.3700832,4,9.607668732
7,4,1997,31.4610185,22.4610185,4,11.01247237
8,4,1997,34.90878018,25.30878018,0,17.10406007
9,4,1997,34.23676552,25.83676552,4,14.12647467
10,4,1997,31.46319848,23.86319848,0,14.4303165
11,4,1997,32.86391389,25.26391389,0,17.69534981
12,4,1997,31.76693231,24.46693231,0,9.582607105
13,4,1997,32.37727532,23.57727532,0,10.19943388
14,4,1997,27.8898338,24.2898338,0,18.27657579
15,4,1997,33.93825611,23.83825611,0,12.98100841
16,4,1997,31.04795972,22.64795972,0,24.29462254
17,4,1997,31.40452189,23.10452189,9,23.03131272
18,4,1997,33.44275919,22.84275919,0,14.96014049
19,4,1997,30.76919698,24.36919698,49.5,12.31791549
20,4,1997,34.04747094,24.84747094,3.5,13.07837499
21,4,1997,33.74515214,25.24515214,0,13.52810757
22,4,1997,35.34362915,24.94362915,20,9.356091439
23,4,1997,30.68409961,22.68409961,2.8,15.80707251
24,4,1997,30.8877547,22.3877547,0,15.78939366
25,4,1997,30.51805696,23.91805696,0,16.07810418
26,4,1997,28.4637183,22.8637183,0,11.00436437
27,4,1997,31.30721099,21.70721099,66.5,15.73411108
28,4,1997,28.8638982,22.6638982,4,19.99189977
29,4,1997,27.89026823,20.89026823,0,18.89867721
30,4,1997,25.35570035,22.25570035,66.5,15.37138043
1,5,1981,31.47985757,21.5,30.6,16.20573557
2,5,1981,31.65343252,21,0,18.08442793
3,5,1981,30.77353716,23.2,0,17.29792677
4,5,1981,29.41229057,22.5,6.2,12.49306871
5,5,1981,27.08521624,21.5,123.9,13.8124914
6,5,1981,28.67853916,21.5,0,15.83661615
7,5,1981,30.38406889,20.5,0,17.10178615
8,5,1981,29.76505416,22,32.8,15.31764308
9,5,1981,28.44068749,22,7.4,11.96448318
10,5,1981,25.62681179,21,13.4,11.50402981
11,5,1981,28.91593494,21.5,0,14.51027162
12,5,1981,30.68782072,22,3,17.33651468
13,5,1981,31.50533691,22,0,16.71103977
14,5,1981,30.81674207,22.5,0.3,17.23314939
15,5,1981,28.83539002,22.5,27.6,12.82198465
16,5,1981,31.29502846,22,0.2,14.76690663
17,5,1981,30.16048706,19,100.7,15.70014702
18,5,1981,29.98385956,21,7.2,17.47113415
19,5,1981,30.46195907,21,0,18.42996729
20,5,1981,31.77902511,20.5,2.5,14.27095166
21,5,1981,29.98928968,22,7.4,12.12185791
