"day","month","year","t_max","t_min","prec","sol_rad"
1,3,2000,35,25,0.8,17.49887353
2,3,2000,29.4,23.5,10.4,11.60405495
3,3,2000,33,22,0,14.26866539
4,3,2000,34.8,23,0,20.83765904
5,3,2000,36,26.5,0,23.35819959
6,3,2000,35,26,0,20.25641548
7,3,2000,34.2,23.5,0,21.6839404
8,3,2000,33.6,26,0,21.39103634
9,3,2000,34,24,0,24.5422829
10,3,2000,34.6,24,0,24.09200397
11,3,2000,34,23.5,0,20.19001974
12,3,2000,34.4,25,0,17.06702425
13,3,2000,34.8,26.5,0,23.98663791
14,3,2000,34.2,25,0,23.2160922
15,3,2000,34.4,24,0,24.01483514
16,3,2000,35.2,24.5,0,24.34142257
17,3,2000,34.4,24.5,0,24.35252118
18,3,2000,34.2,26.5,0,24.0478458
19,3,2000,34.2,26,0,22.64079903
20,3,2000,34.4,26,0,20.76019018
21,3,2000,34.4,26.5,0,17.77685173
22,3,2000,33.8,25,32.1,10.38720974
23,3,2000,30.4,20.5,34.3,9.761656883
24,3,2000,32.4,21.5,102.7,20.93369926
25,3,2000,29.4,24.53022939,15.2,9.453012084
26,3,2000,29,24.81767392,0,12.28593563
27,3,2000,28.2,22.5,0.8,12.91593628
28,3,2000,33,22.5,0,21.08954871
29,3,2000,33.2,23.5,24.2,17.31541191
30,3,2000,33.2,22.5,0,16.21322557
31,3,2000,32.2,22,0,23.27506045
1,4,1987,33.8,22.48056809,15.1,10.24414961
2,4,1987,34,23.8,0,19.81541477
3,4,1987,27.4,24,34,9.457338075
4,4,1987,32,21.6,42,19.330911
5,4,1987,31.8,22.4,11.4,19.79259778
6,4,1987,32.2,22.6,5,16.8087455
7,4,1987,31.2,23.2,4,13.98468937
8,4,1987,33.8,23.6,0,21.32450626
9,4,1987,34.8,22.6,0,25.37189182
10,4,1987,29.2,23.2,4.5,10.21687956
11,4,1987,31.6,22,0,19.56631308
12,4,1987,33.2,21.2,30.6,25.31514349
13,4,1987,32.6,22.4,0,24.98292053
14,4,1987,34,24.2,0,22.16301792
15,4,1987,34.4,25.2,0,25.55982202
16,4,1987,33.6,25.4,0,23.51899861
17,4,1987,31.2,23.2,44.2,14.04419732
18,4,1987,30.2,21.8,0,15.5792231
19,4,1987,31,23.6,14.9,14.48212194
20,4,1987,31.8,21.6,2.2,23.88616883
21,4,1987,29,23.6,19,11.09509865
22,4,1987,32.6,22.2,77.4,18.59644097
23,4,1987,28,23.6,2.9,10.27012151
24,4,1987,28,23,6.5,11.48862509
25,4,1987,29,22,1.7,11.93657085
26,4,1987,32.4,23.2,0,20.34823357
27,4,1987,32,24.2,0,13.5926247
28,4,1987,32.4,24.4,0,19.53366246
29,4,1987,33,22.8,26.4,21.94919333
30,4,1987,32,21.8,39.2,12.78221768
1,5,1988,30.98767055,22.2,6.4,19.88791703
2,5,1988,32.41861494,22.2,0.9,16.5254815
3,5,1988,31.08096849,22.4,89,21.34843549
4,5,1988,32.20612411,21.2,0,11.03959623
5,5,1988,31.75676135,21.4,0,17.3652992
6,5,1988,31.45235556,22.6,32.2,14.0261398
7,5,1988,31.31512261,22,0,17.31819888
8,5,1988,31.57590825,22.4,0,12.18605084
9,5,1988,31.09171055,23.29171055,0,10.06993056
10,5,1988,32.5249628,22.5249628,22.5,15.00052365
11,5,1988,31.07603563,22.4,0,17.82219434
12,5,1988,30.26430264,22.86430264,0,20.03798428
13,5,1988,31.76445192,24.46445192,93,9.124964067
14,5,1988,28.53038492,23.83038492,7.3,15.51625278
15,5,1988,28.87298716,21.4,55.1,13.86031501
16,5,1988,27.27037679,22,0,15.92070918
17,5,1988,29.33310178,22.6,0,14.26928316
18,5,1988,30.09179562,21.6,7.5,14.69512878
19,5,1988,30.98087091,20.58087091,4.5,15.94143298
20,5,1988,32.25095132,22.85095132,0,18.2007003
21,5,1988,31.08296697,23.4,6.3,13.31339105
22,5,1988,30.31675189,23.2,51.6,15.65265928
23,5,1988,29.86259318,21.26259318,32.1,9.018456699
24,5,1988,32.98411269,24.38411269,0,10.62359556
25,5,1988,31.62903306,22.2,7.8,8.9989809
26,5,1988,29.51059052,22.2,0,11.62556654
27,5,1988,29.93443425,23.2,0,13.80714927
28,5,1988,27.87481973,22.6,4.3,13.23088713
29,5,1988,30.37725938,22.4,0,11.58928602
30,5,1988,28.78876291,23.6,47.6,17.1168041
31,5,1988,28.71711613,20.11711613,31.2,18.11897569
1,6,1987,30,22.8,11.5,10.69319476
2,6,1987,30.2,22.8,0,16.06512415
